form,docs,occurrences
окунающий,2,2
прикладывавшийся,1,1
утыкалась,29,31
ходатайствовавшим,1,1
доигран,3,3
прибиваемых,3,4
ряски,61,71
подрубящем,,
необдуманной,31,32
метафизику,190,307
высококвалифицированную,7,8
неоправданна,7,7
нетипичное,21,21
унизились,17,18
обиваем,5,5
сопоставлявшем,,
омойте,1,1
свидетельствующего,35,37
алтайскою,,
подгребая,30,33
потуги,262,299
возносившихся,3,3
яшмовой,6,6
обдуманном,24,24
мете,31,42
перегоняющая,,
обворовываемые,,
беленые,40,41
тяжеловатые,23,23
облагодетельствовавшей,,
золотарей,21,23
возобновятся,72,79
орошай,4,4
превозносившему,,
амнистирующими,,
претерпевающему,,
комиссарские,14,16
отвлечению,30,36
колобком,55,65
тщетную,21,21
цитрусовому,1,1
тумак,21,24
кривоногого,29,34
пихая,46,50
неосуществимой,68,68
сердешной,9,9
изумленным,203,220
гавкающий,2,2
взыграют,7,7
мудришь,23,23
холим,7,8
*пригубимому,,
побрить,71,78
слесарны,,
перетягиваемы,,
автослесаре,,
главенствовавшей,2,2
пропагандировавшего,2,2
фурор,308,360
штопавшую,,
наслоения,167,197
малограмотного,46,51
жрицах,3,3
заборчики,27,30
мохнатой,298,365
мотивирующие,6,6
изнуренным,66,69
поганце,1,1
перегибай,10,11
горлань,8,9
отжатому,,
пасечников,14,27
ссылающего,,
дистрофии,62,104
изживите,,
курируете,4,6
мавре,53,108
амнистировавшему,,
недозволенными,28,30
экологов,121,176
волохов,55,324
нянчимо,,
обходчике,,
декларируемые,21,21
предрешившем,,
высыхаете,1,1
панкам,,
надтреснутого,15,16
угодливое,17,19
колешу,,
понятийными,,
плафонах,13,13
тростниковых,51,67
прилипают,,
разгневать,35,35
обсасываемы,,
реактивностями,,
уплетающей,,
папуль,,
малюй,8,10
